"binAges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
20.5,0.0882516276457993,0.397553942697923,1.06522409984647,0.0360319059892811,0.204895712899132,0.050580552123231,-0.0278527560577533,-0.0079750407069291,0.02010698771641,0.184763572495276,0.233956049570225,0.140493529513596,0.831989459153297,1.91678162918792,0.662740416103571,0.328600755435343,-0.130631483253995,0.637622887754931,0.825051024827356,0.372585123772634,0.135725522783157,-0.325569505884874,0.280596577124115,-0.31820968742583,0.233397998803799,0.02033636957946,0.00413010792253179,0.748920667359383,0.675005932237693,0.640792029372726,0.183649839034367,0.521100636022188,0.445243383805934,0.0978027840459461,0.244166528187403,0.319357873068821,0.107777059324919,0.58995067662539,0.710892849060152,0.377101263649188,1.22342375431959,-0.0764786727862553,0.093509258550415,0.958082457568103,0.375767407194674,0.0994519175964653,1.53892969314904,0.275535810457272,0.256368455947393,0.129773708797561
21.5,0.101661684601728,0.509645632425395,1.21929407486874,0.13069055671365,0.29776296197221,0.137971277389645,0.0455627952990984,0.140121569820016,0.162714475790653,0.256332496690386,0.347963347468016,0.00667240781483789,0.95626952009153,2.10104919877512,0.776947997186611,0.403187652114063,0.0256404703685695,0.766564721658798,0.888969480771951,0.498753945657443,0.269707813543703,-0.260909530486222,0.455926009946774,-0.165478650887713,0.398097498245281,0.220269663393064,0.124962492249224,0.772866404402863,0.730639523848603,0.741893551427266,0.29611564025228,0.637692657712801,0.533811970944909,0.160274920094789,0.338476377800675,0.409914558457523,0.237936131740107,0.744039202545639,0.787280829734401,0.448534138109423,1.31176848051844,0.0354359444407078,0.222178058736798,0.827133813198151,0.594580362329068,0.224727941977201,1.66243470601109,0.30839266701737,0.339368805030716,0.284819384478491
22.5,0.219544157376712,0.666086048902011,1.354203351927,0.314011616037801,0.412416013434957,0.294589296987762,0.169162133797618,0.309519933087158,0.334420906089731,0.392210322490316,0.524765953024518,0.158947806547023,1.11866933401081,2.29791428721754,0.921541117245098,0.555443428730118,0.14269348471089,0.95408709656212,1.07653789307691,0.679644336968247,0.419245546097676,-0.165482330379521,0.59519180198153,-0.0429681359506586,0.517178229206334,0.366023674658738,0.246200653113128,0.938015409304325,0.917542729338191,0.876434759829988,0.425692341485022,0.762436889369044,0.683258538516284,0.337294038826303,0.516077789963294,0.512759961237,0.366124580295312,0.90876116600043,0.909258210233727,0.578761216521539,1.439338636994,0.197730220808174,0.356542116040918,0.965478996801233,0.716903135293881,0.349105666545776,1.83286531694674,0.49340154111655,0.515019159903509,0.391487138369341
23.5,0.293685971211031,0.597486021910041,1.35528142879774,0.276113512810182,0.549578905409928,0.221791432055696,0.212775987935024,0.377241495441162,0.296325111097099,0.49831256170841,0.585705268566967,0.128861215222673,1.23729187218646,2.25994874731583,0.896619444203644,0.672416383847833,0.271056459176667,1.08463439433837,1.05989516279126,0.739933113340741,0.523261486449475,-0.0946398368769372,0.598462769637879,-0.0991244273432662,0.636495224044457,0.333473340087904,0.181607120557854,0.965621555394279,0.918658780966571,0.861663781980423,0.499320703050549,0.759178141044855,0.791677294531849,0.303639377547968,0.628137732705913,0.489812695217625,0.446925146186641,0.95864456771952,1.00208873080123,0.525879120121596,1.46930955799661,0.133780003496542,0.394694436288881,0.99825451496108,0.782537977369363,0.416579715547776,1.80719091307147,0.436469938817835,0.494909666933356,0.501637673020672
24.5,0.124530162756061,0.425993641009576,1.26859437386158,0.137543485699819,0.411916561922148,0.11894619033557,0.0961027472601918,0.230624886472536,0.119804815831076,0.327057816101791,0.425242757682611,-0.0177330650645157,1.08309656730331,2.09838324530946,0.788589794852846,0.496343760507146,0.128278267129655,0.879567674984035,0.908851721202942,0.602169581914826,0.356502530598989,-0.212022893597894,0.491798338281318,-0.194696150503376,0.508472911366988,0.234891782985872,0.10205617829428,0.816571185305688,0.727119263554359,0.751772326370821,0.324151949371067,0.659198774605319,0.593031867209145,0.179189953417128,0.461295172241968,0.400692144474277,0.29567262288447,0.783793693423868,0.844790586990673,0.430818644336894,1.36231006636251,0.0241201832870155,0.235599531845337,0.82665099533583,0.661842150504556,0.26156478210652,1.72893987214631,0.342196739983909,0.396467638992949,0.362484637640452
25.5,-0.166225573913351,0.187839259313444,1.07348445015722,-0.0961552306910429,0.109655044218673,-0.0405255763590431,-0.126639740241994,-0.0257044834205235,-0.122594782222176,0.0348231281538609,0.124282363477047,-0.252746814060605,0.737347039619547,1.81205025371521,0.57910264785708,0.206282718059178,-0.167337990828913,0.542089916143429,0.675054013938596,0.326649259040624,0.0566211548695808,-0.459491515917546,0.295650334204878,-0.347250473604354,0.231554874550799,0.00833485470250557,-0.0784980887256003,0.577506334477646,0.425262987599128,0.536971331648841,0.0231060215041221,0.441604545413645,0.28361726646375,-0.0494991049893276,0.132945776065752,0.224821685239393,0.0229669814289858,0.502691597537195,0.584024621559662,0.2328305126726,1.10570174647709,-0.172146362784033,-0.0288656007172066,0.524921171829487,0.40238512477555,-0.0263932211120062,1.51848054313367,0.137534615480629,0.179776136062885,0.0629761406480858
26.5,0.139177353759909,0.483370092508298,1.34642529045224,0.228599973116366,0.371802752909337,0.2339939192465,0.135851237093998,0.276853660830319,0.253589709688176,0.345213697578909,0.418096602889108,0.0464902261975728,1.05034007106701,2.07436594064569,0.866453378204138,0.502203742295696,0.118018802668686,0.90653883417496,1.02976544407251,0.646714189902064,0.342097997453301,-0.175020139929731,0.589924764769878,-0.0490167221540797,0.49731790397152,0.34307910375673,0.200127088604324,0.864085672224768,0.711817003363195,0.846039566222429,0.318278257482541,0.714687589862042,0.561990361527222,0.308027061763345,0.491684314383801,0.46636162014581,0.336242447632547,0.851070926495359,0.868841696494616,0.517944731292023,1.4136682752333,0.169491062513572,0.288279959558414,0.756594081924404,0.684744910282075,0.254355550261538,1.74331342592356,0.400018300579825,0.478847232866797,0.345777627371074
27.5,0.286375803081794,0.644742482743256,1.47995593196738,0.377540676382303,0.543024862178662,0.35857909339521,0.256104988137051,0.431092178059127,0.418614187422476,0.490455234321316,0.587216376184259,0.183940040643795,1.24379050748532,2.26557605885755,1.03098336029833,0.641418885412488,0.268149962410689,1.07714933040457,1.2032841760448,0.80741821030861,0.508892009520501,-0.0353765949339046,0.723764963620675,0.0695970406754825,0.646755403485074,0.526538148027347,0.359100442604387,1.01548271508434,0.867903579092209,0.973444072379264,0.469020130430151,0.855163263680946,0.707513683585095,0.46309621430899,0.668469270283005,0.615033232351064,0.47033320330045,1.03068226303468,1.01950685488954,0.676917518097588,1.58733909860693,0.313714314812167,0.427751195857467,0.921307470359055,0.85190860095608,0.397030051269969,1.93298988954472,0.574209618986446,0.649687970795168,0.506653876054739
28.5,0.296118956357831,0.604845655578234,1.43262395039903,0.332397934790493,0.531442918351295,0.310333193875257,0.228524333932323,0.366054498839728,0.372642278861879,0.417807961041112,0.582708689446658,0.137155925960549,1.19866573752914,2.2397780974048,0.991909020428502,0.601802855382331,0.276595267038361,1.01374750320054,1.1283161821464,0.771351919681194,0.495830171990767,-0.0780432837262066,0.658829582710489,0.0256925537652466,0.619111658364304,0.520205547393079,0.312082783822051,0.968472913179173,0.844150070622483,0.936883655953383,0.444189580157559,0.8224138233316,0.696512580661352,0.426231854672435,0.611018613540325,0.606237960355071,0.415112652098778,0.970197845557284,0.995656064027746,0.657166381532697,1.51211736894494,0.216959721706267,0.376948599563457,0.913528668725246,0.819750301429164,0.366420306266823,1.92427043629026,0.564321086705975,0.619091513058292,0.478154284037751
29.5,0.290680198177377,0.555520197567168,1.35960621326458,0.265710404888539,0.441127870074847,0.241675311873925,0.162659056179205,0.305513480772606,0.31680809610904,0.356057023855407,0.465570077780667,0.0846072115334471,1.06477386000532,2.10866937362192,0.907004433688306,0.533629211137723,0.225705101383644,0.946986557842252,1.11026748953015,0.669320725239141,0.42147799817103,-0.132518902341549,0.621160114146435,0.0137683551667507,0.520465915051941,0.473873384296052,0.251285730244629,0.915050635859343,0.726056881823718,0.857411617590703,0.385604621096912,0.758512917034053,0.614542236191461,0.397800216928053,0.520575334641429,0.546293057314217,0.354915431250163,0.923834938080163,0.925462008858124,0.586278229713056,1.42480358693319,0.168501397938437,0.313320959710725,0.791536664630988,0.755223247987177,0.297005113271719,1.78607516586437,0.447092624216441,0.545060523234034,0.401004379846956
