# Archive/proxy
#	Tree ring
#--------------------
# Contribution Date
#	Date: 2012-07-25 19:40:10
#--------------------
# Title
#	Study Name:  Finnish Lapland Tree ring Ring width
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Helama, Samuli and Timonen, Mauri and Holopainen, Jari and Ogurtsov, Maxim G and Mielikäinen, Kari and Eronen, Matti and Lindholm, Markus and Meriläinen, Jouko
#	Journal Name: Journal of Quaternary Science
#	Published Title: Summer temperature variations in Lapland during the Medieval Warm Period and the Little Ice Age relative to natural instability of thermohaline circulation on multi-decadal and multi-centennial scales
#	Published Date: 2009
#	DOI: 10.1002/jqs.1291
#	Abstract: New tree ring-based analysis for climate variability at a regional scale is presented for high latitudes of Europe. Our absolutely dated temperature reconstruction seeks to characterise the summer temperatures since AD 750. The warmest and coolest reconstructed 250-year periods occurred at AD 931–1180 and AD 1601–1850, respectively. These periods share significant temporal overlap with the general hemispheric climate variability due to the Medieval Warm Period (MWP) and the Little Ice Age (LIA). Further, we detect a multi-decadal (ca. 50- to 60-year) rhythm, attributable to instability of the North Atlantic Deep Water, in the regional climate during the MWP but not during the LIA. Intensified formation of the North Atlantic Deep Water further appeared coincident to the initiation and continuation of MWP, the mid-LIA transient warmth occurring during the period AD 1391–1440, and to recent warming. Our results support the view that the internal climate variability (i.e. thermohaline circulation) could have played a role in the earlier start of the MWP in several proxy reconstructions compared to the externally forced model simulations. Copyright © 2009 John Wiley & Sons, Ltd.
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, annual resolution
#-------------------- 
# Site Name
#	Region: Scandinavia
#	Country: Finnish Lapland
#	Northmost Latitude: 69
# 	Southmost Latitude: 69
# 	Eastmost Longitute: 25
# 	Westmost Longitute: 25
# 	Elevation: 
#------------------
# Data Collection  
#	Core Name: 
#	First Year: 0
#	Last Year: 2005
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	>tree-ring>width>reconstruction
#----------------
# Variables 
#	age_AD	Age (years AD)
#	ts	Surface temperature (degrees C)
# 
age_AD	ts
433	13.8725
432	13.5803
431	13.8357
430	15.5575
429	14.3975
428	13.887
427	14.8627
426	12.5008
425	12.9229
424	13.5004
423	13.8939
422	12.8266
421	10.7487
420	13.3632
419	13.9684
418	12.2356
417	11.6343
416	12.1641
415	14.1179
414	13.0103
413	11.7478
412	14.0599
411	14.1256
410	14.7469
409	15.2223
408	15.7681
407	16.6464
406	14.5883
405	12.6877
404	15.7599
403	13.6492
402	13.8338
401	13.8224
400	14.649
399	13.6724
398	12.796
397	11.6952
396	13.1268
395	13.0163
394	12.0352
393	12.5074
392	13.5802
391	13.4622
390	14.5619
389	13.0597
388	12.5866
387	11.9209
386	12.4782
385	13.4888
384	13.5863
383	12.9785
382	12.5759
381	12.7618
380	12.7628
379	12.6429
378	14.6638
377	13.5129
376	12.2932
375	13.1472
374	14.2575
373	13.3936
372	11.2136
371	13.2757
370	13.1886
369	11.875
368	12.9101
367	13.5165
366	12.2903
365	11.7634
364	12.0941
363	12.9581
362	11.9797
361	13.0241
360	13.4444
359	12.8037
358	13.2995
357	11.9249
356	11.7007
355	14.1281
354	14.5388
353	13.2648
352	11.4908
351	13.4537
350	13.0692
349	13.3807
348	13.2832
347	13.1403
346	11.8236
345	11.9572
344	12.3226
343	11.5646
342	12.5189
341	12.3854
340	11.6278
339	11.6904
338	14.8264
337	12.5247
336	11.0776
335	12.7878
334	12.6063
333	12.7071
332	12.3081
331	13.542
330	14.8581
329	12.4954
328	13.2628
327	13.2513
326	12.5558
325	13.1486
324	13.4892
323	12.0672
322	12.3389
321	13.3883
320	12.2794
319	12.63
318	12.4519
317	12.1049
316	11.8573
315	12.2376
314	11.557
313	13.1878
312	12.6742
311	10.9158
310	12.1036
309	12.2125
308	12.0567
307	12.41
306	12.2291
305	11.6115
304	11.1946
303	12.4086
302	12.6728
301	12.658
300	11.9809
299	13.8587
298	14.1293
297	12.0556
296	12.6293
295	13.2671
294	13.6226
293	12.4426
292	13.7872
291	13.9438
290	12.1638
289	12.3177
288	13.4714
287	13.8992
286	13.0137
285	12.0225
284	14.3744
283	13.4433
282	12.1392
281	12.3653
280	12.8503
279	11.9934
278	10.5853
277	11.5483
276	12.48
275	12.7015
274	11.657
273	12.4056
272	13.0915
271	12.4631
270	10.9026
269	12.0227
268	10.9251
267	12.1581
266	13.3164
265	10.6917
264	11.9341
263	12.5131
262	13.8147
261	12.1513
260	11.7168
259	13.2608
258	12.103
257	12.4872
256	13.5674
255	13.2784
254	11.6143
253	12.8242
252	13.5582
251	12.2066
250	11.6623
249	13.6474
248	14.0839
247	11.8609
246	12.2569
245	13.1072
244	13.5441
243	13.4066
242	14.4324
241	13.388
240	11.7988
239	12.1844
238	12.8722
237	11.8887
236	11.3108
235	13.0798
234	12.9044
233	12.4002
232	13.2263
231	12.3304
230	12.5655
229	15.0422
228	11.9933
227	12.6879
226	14.9586
225	12.2686
224	11.898
223	13.5224
222	12.2201
221	11.8278
220	13.8467
219	13.5766
218	11.3598
217	13.943
216	13.9368
215	13.2711
214	12.4901
213	13.754
212	14.2124
211	12.6034
210	14.4648
209	12.7399
208	12.3526
207	12.734
206	13.9927
205	13.3529
204	13.754
203	12.7218
202	13.0032
201	13.9033
200	13.1181
199	12.4564
198	12.4636
197	12.6914
196	13.2004
195	12.5217
194	13.0893
193	13.0453
192	13.8887
191	14.4202
190	12.9739
189	13.1376
188	13.1704
187	11.0748
186	12.2031
185	14.0391
184	11.8226
183	13.6415
182	14.8128
181	13.9659
180	13.4393
179	13.2557
178	14.3009
177	12.6797
176	11.9397
175	12.4013
174	13.397
173	13.6088
172	12.9266
171	12.2903
170	13.2216
169	12.5863
168	11.329
167	12.3822
166	12.6855
165	12.3174
164	12.5286
163	12.7864
162	13.5022
161	14.2152
160	13.9783
159	13.557
158	13.461
157	11.8221
156	11.7563
155	12.885
154	12.9535
153	12.3365
152	12.6
151	12.5581
150	11.0431
149	12.8425
148	13.2159
147	13.711
146	13.0423
145	12.0227
144	12.9887
143	13.5429
142	12.0771
141	13.0625
140	13.2086
139	13.898
138	13.3058
137	12.9231
136	12.8171
135	12.0015
134	12.5278
133	13.469
132	13.323
131	12.9825
130	13.4404
129	12.1669
128	12.2433
127	13.3411
126	14.2091
125	13.2314
124	12.413
123	13.4174
122	14.0988
121	12.6886
120	12.8234
119	13.9647
118	13.8966
117	13.3044
116	15.1152
115	13.6552
114	11.3732
113	13.2229
112	13.438
111	12.1506
110	13.0778
109	13.5859
108	13.4135
107	14.2742
106	13.5273
105	11.8488
104	13.625
103	14.2952
102	12.3547
101	11.5738
100	13.5114
99	14.6026
98	13.3602
97	12.2347
96	12.3929
95	13.4787
94	13.5072
93	13.129
92	13.217
91	12.8562
90	14.1313
89	12.2545
88	12.4508
87	12.7729
86	12.091
85	11.2994
84	12.5
83	13.2546
82	13.4267
81	14.7648
80	13.4288
79	14.8433
78	14.9791
77	12.5203
76	11.872
75	13.5391
74	13.4982
73	13.3749
72	12.0897
71	13.7903
70	13.5706
69	13.7158
68	12.788
67	12.2867
66	14.0409
65	13.9547
64	13.9617
63	12.5068
62	11.6841
61	13.7613
60	12.9028
59	14.8918
58	13.4122
57	13.5143
56	12.4185
55	12.903
54	12.9622
53	13.1899
52	12.6914
51	12.302
50	14.5069
49	14.4036
48	11.6674
47	12.8204
46	14.8803
45	13.2283
44	13.1374
43	13.6274
42	13.1885
41	13.5417
40	10.772
39	13.6589
38	14.0996
37	14.5935
36	14.315
35	13.7878
34	13.4096
33	14.345
32	13.2504
31	14.0581
30	12.9047
29	12.9419
28	13.9866
27	13.4793
26	12.679
25	12.4894
24	13.3008
23	13.1337
22	11.6777
21	13.1577
20	12.7319
19	12.5126
18	11.9521
17	12.4297
16	12.2019
15	11.6729
14	12.3975
13	12.2845
12	12.2888
11	12.8428
10	12.8218
9	11.468
8	13.0464
7	14.4846
6	13.5503
5	13.0285
4	14.7098
3	14.6223
2	14.4406
1	11.981
0	12.2523
