# Archive/proxy
#	Tree ring
#--------------------
# Contribution Date
#	Date: 2012-03-13 13:30:33
#--------------------
# Title
#	Study Name: Forfjorddalen 2 Norway Tree ring Ring width
#--------------------
#	Investigators: 
#--------------------
# Description and Notes
#--------------------
# Publication
#	Citation: Kirchhefer, Andreas J.
#	Journal Name: The Holocene
#	Published Title: Reconstruction of summer temperatures from tree-rings of Scots pine (Pinus sylvestris L.) in coastal northern Norway
#	Published Date: 2001
#	DOI: 10.1191/095968301670181592
#	Abstract: At the coast of northern Norway, 69°N, tree-ring chronologies from Scots pine (Pinus sylvestris L.) were constructed at Forfjorddalen in the Vesterålen archipelago (AD 1358-1992), Stonglandseidet on Senja (AD 1548-1994) and Vikran near Tromso (AD 1700-1992). All chronologies reflect July-August temperatures. At the most northern site, Vikran, the response was more confined to July temperatures, resulting in a strong tree-ring and climate signal. The chronology from a steep, south-facing slope at Stonglandseidet showed signs of drought sensitivity. At the most oceanic locality, Forfjorddalen, mild winters appear to suppress tree growth on a decadal scale. Growth variations were consistent between the three sites for 1700-1910 but the amount of low-frequency variability decreased towards the most oceanic site. The seventeenth century, the coldest period of the ‘Little Ice Age’, experienced three cycles of summer temperatures, with minima around 1605, 1640 and 1680. An extended warm period occurred around 1475-1540. Temperature reconstruction showed secular trends similar to those observed east of the Scandes, but differed in the magnitude and timing of the extremes. At Forfjorddalen, there was no evidence of pine regeneration around 1575-1650. The latter site is likely to have been affected by logging activity in the seventeenth century.
#----------------------
#	Science Keywords: PAGES 2k Network, PAGES Arctic 2k, Arctic 2k, temperature, annual resolution
#-------------------- 
# Site Name
#	Region: Scandinavia
#	Country: Norway
#	Northmost Latitude: 69.08
# 	Southmost Latitude: 69.08
# 	Eastmost Longitute: 17.22
# 	Westmost Longitute: 17.22
# 	Elevation: 145
#------------------
# Data Collection  
#	Core Name: Forfjorddalen 2
#	First Year: 877
#	Last Year: 1994
#	Time Unit: AD
#------------------
#  Searchable Controlled Keywords
#	>tree-ring>width>ring width 
#----------------
# Variables 
#	age_AD	Age (years AD)
#	trsgi	Tree Ring Standardized Growth Index
# 
age_AD	trsgi
1550	826
1549	730
1548	660
1547	722
1546	963
1545	814
1544	628
1543	455
1542	531
1541	594
1540	705
1539	1300
1538	1064
1537	990
1536	669
1535	1679
1534	1354
1533	1296
1532	1335
1531	1157
1530	1097
1529	936
1528	1287
1527	802
1526	1362
1525	1032
1524	852
1523	1423
1522	1105
1521	900
1520	884
1519	1136
1518	1040
1517	1027
1516	832
1515	1006
1514	785
1513	1076
1512	1388
1511	1130
1510	802
1509	1054
1508	1325
1507	1033
1506	1329
1505	1532
1504	1245
1503	1191
1502	1145
1501	1204
1500	856
1499	958
1498	999
1497	1242
1496	1503
1495	1060
1494	1148
1493	1045
1492	990
1491	1126
1490	1253
1489	1458
1488	1088
1487	840
1486	930
1485	1285
1484	1049
1483	1025
1482	1392
1481	1105
1480	1317
1479	1072
1478	793
1477	785
1476	837
1475	915
1474	678
1473	776
1472	623
1471	930
1470	1199
1469	1064
1468	1172
1467	1161
1466	1306
1465	1181
1464	905
1463	962
1462	939
1461	821
1460	553
1459	497
1458	778
1457	673
1456	827
1455	699
1454	645
1453	494
1452	786
1451	988
1450	1501
1449	1171
1448	1183
1447	1290
1446	1197
1445	1036
1444	1026
1443	871
1442	917
1441	865
1440	865
1439	599
1438	836
1437	871
1436	771
1435	919
1434	923
1433	1022
1432	888
1431	759
1430	735
1429	1016
1428	942
1427	909
1426	883
1425	1234
1424	1026
1423	869
1422	920
1421	1017
1420	984
1419	737
1418	664
1417	847
1416	1066
1415	1074
1414	1024
1413	902
1412	1018
1411	1225
1410	1209
1409	1152
1408	1018
1407	891
1406	1133
1405	968
1404	1125
1403	1108
1402	1135
1401	843
1400	631
1399	925
1398	610
1397	861
1396	1056
1395	884
1394	910
1393	978
1392	905
1391	852
1390	839
1389	763
1388	927
1387	1144
1386	916
1385	643
1384	676
1383	741
1382	656
1381	1009
1380	1161
1379	1194
1378	950
1377	705
1376	815
1375	807
1374	1126
1373	1007
1372	1456
1371	1099
1370	882
1369	1163
1368	1053
1367	963
1366	1116
1365	991
1364	949
1363	730
1362	862
1361	941
1360	800
1359	811
1358	954
1357	1195
1356	1327
1355	1031
1354	1139
1353	968
1352	1290
1351	1306
1350	1171
1349	1153
1348	724
1347	871
1346	800
1345	833
1344	780
1343	863
1342	993
1341	898
1340	1187
1339	1254
1338	1103
1337	1042
1336	1258
1335	1323
1334	1500
1333	949
1332	1126
1331	1335
1330	1323
1329	1268
1328	937
1327	1211
1326	840
1325	827
1324	774
1323	981
1322	892
1321	1049
1320	958
1319	925
1318	951
1317	837
1316	1180
1315	1047
1314	808
1313	740
1312	938
1311	1249
1310	956
1309	993
1308	1194
1307	1135
1306	1047
1305	947
1304	1160
1303	738
1302	793
1301	844
1300	722
1299	945
1298	1068
1297	973
1296	1007
1295	1122
1294	1053
1293	779
1292	1061
1291	845
1290	775
1289	897
1288	944
1287	798
1286	1059
1285	1375
1284	1030
1283	850
1282	763
1281	672
1280	781
1279	843
1278	991
1277	1062
1276	1007
1275	1119
1274	1073
1273	1376
1272	1258
1271	1271
1270	1087
1269	1105
1268	952
1267	839
1266	1151
1265	1117
1264	970
1263	627
1262	680
1261	785
1260	792
1259	787
1258	861
1257	1082
1256	701
1255	887
1254	1176
1253	1588
1252	1273
1251	1600
1250	1316
1249	1046
1248	1183
1247	1024
1246	808
1245	815
1244	811
1243	679
1242	731
1241	714
1240	889
1239	975
1238	873
1237	1252
1236	1092
1235	1089
1234	1284
1233	1120
1232	914
1231	840
1230	847
1229	795
1228	1083
1227	1292
1226	960
1225	1200
1224	1163
1223	979
1222	827
1221	1215
1220	1167
1219	1375
1218	1212
1217	1394
1216	1236
1215	792
1214	1065
1213	1311
1212	833
1211	1227
1210	1289
1209	1250
1208	948
1207	867
1206	1038
1205	910
1204	944
1203	596
1202	522
1201	882
1200	935
1199	1175
1198	755
1197	820
1196	953
1195	712
1194	841
1193	985
1192	910
1191	900
1190	726
1189	763
1188	890
1187	755
1186	972
1185	1067
1184	939
1183	962
1182	706
1181	859
1180	1145
1179	845
1178	603
1177	605
1176	584
1175	808
1174	1126
1173	970
1172	1369
1171	1173
1170	1091
1169	786
1168	1115
1167	1036
1166	1145
1165	707
1164	518
1163	1229
1162	1548
1161	1165
1160	1131
1159	942
1158	1022
1157	1077
1156	930
1155	878
1154	903
1153	893
1152	936
1151	890
1150	777
1149	1393
1148	822
1147	1104
1146	828
1145	899
1144	642
1143	1496
1142	1518
1141	1634
1140	1503
1139	1105
1138	2076
1137	1621
1136	1716
1135	2397
1134	1378
1133	1478
1132	1604
1131	1331
1130	970
1129	1112
1128	838
1127	1168
1126	1088
1125	740
1124	649
1123	936
1122	1199
1121	753
1120	854
1119	872
1118	1334
1117	1498
1116	1067
1115	967
1114	1668
1113	1708
1112	1568
1111	1090
1110	559
1109	1481
1108	1243
1107	1038
1106	769
1105	1164
1104	1315
1103	987
1102	1073
1101	1409
1100	1300
1099	1137
1098	934
1097	1297
1096	968
1095	781
1094	852
1093	796
1092	806
1091	498
1090	543
1089	539
1088	554
1087	809
1086	1008
1085	762
1084	1115
1083	478
1082	525
1081	321
1080	716
1079	1047
1078	447
1077	539
1076	557
1075	490
1074	420
1073	760
1072	1053
1071	1078
1070	1472
1069	1229
1068	644
1067	852
1066	678
1065	853
1064	781
1063	811
1062	1054
1061	1138
1060	616
1059	622
1058	979
1057	946
1056	923
1055	945
1054	1058
1053	738
1052	873
1051	961
1050	733
1049	842
1048	1039
1047	794
1046	1090
1045	1148
1044	1161
1043	1084
1042	427
1041	659
1040	678
1039	486
1038	645
1037	1114
1036	1243
1035	1048
1034	1483
1033	1818
1032	1168
1031	909
1030	784
1029	869
1028	1381
1027	1671
1026	1643
1025	1479
1024	1231
1023	1053
1022	655
1021	902
1020	1527
1019	1420
1018	1320
1017	686
1016	1084
1015	1044
1014	1406
1013	838
1012	686
1011	701
1010	918
1009	824
1008	962
1007	880
1006	921
1005	1016
1004	1102
1003	1090
1002	1187
1001	1294
1000	1642
999	1379
998	1405
997	1236
996	1089
995	854
994	1252
993	657
992	1221
991	1325
990	1617
989	1044
988	687
987	958
986	820
985	483
984	554
983	1103
982	1189
981	856
980	912
979	675
978	969
977	1135
976	724
975	754
974	677
973	896
972	1049
971	997
970	854
969	1050
968	609
967	629
966	987
965	776
964	1110
963	928
962	765
961	633
960	890
959	1188
958	1325
957	1440
956	1187
955	1061
954	1489
953	1512
952	903
951	1052
950	873
949	839
948	781
947	912
946	827
945	738
944	819
943	1441
942	934
941	1009
940	1187
939	1610
938	1404
937	1348
936	1006
935	1147
934	1243
933	1166
932	1276
931	894
930	824
929	1270
928	1442
927	1153
926	1278
925	776
924	935
923	1114
922	1170
921	1011
920	1107
919	1299
918	1316
917	979
916	982
915	771
914	531
913	624
912	1162
911	681
910	563
909	855
908	877
907	570
906	1183
905	1240
904	1385
903	1058
902	988
901	813
900	879
899	1056
898	815
897	540
896	480
895	859
894	730
893	656
892	535
891	1179
890	1032
889	988
888	1145
887	1063
886	829
885	832
884	1214
883	853
882	1535
881	1161
880	1175
879	1128
878	1174
877	1062
